info: api hit || timestamp: 04-02-2024 10:41:46 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:42:15 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:42:15 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:44:3 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:44:3 PM 
info: api hit || timestamp: 04-02-2024 10:44:8 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:49:29 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:49:29 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:49:44 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:49:44 PM 
info: api hit || timestamp: 04-02-2024 10:49:48 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:50:20 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:50:20 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:50:23 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:50:23 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:50:55 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:50:55 PM 
info: api hit || timestamp: 04-02-2024 10:51:0 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:51:20 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:51:20 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:51:45 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:51:45 PM 
info: api hit || timestamp: 04-02-2024 10:51:53 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:52:30 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:52:30 PM 
info: api hit || timestamp: 04-02-2024 10:52:34 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:53:3 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:53:3 PM 
info: api hit || timestamp: 04-02-2024 10:53:14 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:53:59 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:53:59 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:54:4 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:54:4 PM 
info: api hit || timestamp: 04-02-2024 10:54:10 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:55:12 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:55:12 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:55:22 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:55:22 PM 
info: api hit || timestamp: 04-02-2024 10:55:25 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:56:0 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:56:0 PM 
info: api hit || timestamp: 04-02-2024 10:56:4 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:57:9 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:57:9 PM 
info: api hit || timestamp: 04-02-2024 10:57:14 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:58:19 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:58:19 PM 
info: api hit || timestamp: 04-02-2024 10:58:23 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:59:2 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:59:2 PM 
info: api hit || timestamp: 04-02-2024 10:59:6 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:00:37 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:00:37 PM 
info: api hit || timestamp: 04-02-2024 11:00:41 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:04:47 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:04:47 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:12:0 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:12:0 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:12:31 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:12:32 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:12:32 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:12:32 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:16:47 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:16:47 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:17:34 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:17:34 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:24:41 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:24:42 PM 
info: api hit || timestamp: 04-02-2024 11:25:0 PM 
error: postItem.map is not a function || timestamp: 04-02-2024 11:25:0 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:25:39 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:25:39 PM 
info: api hit || timestamp: 04-02-2024 11:25:44 PM 
error: Cannot read properties of undefined (reading 'map') || timestamp: 04-02-2024 11:25:44 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:27:28 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:27:28 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:27:39 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:27:39 PM 
info: api hit || timestamp: 04-02-2024 11:28:8 PM 
error: Cannot read properties of undefined (reading 'map') || timestamp: 04-02-2024 11:28:8 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:29:13 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:29:13 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:29:22 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:29:22 PM 
info: api hit || timestamp: 04-02-2024 11:29:26 PM 
error: Cannot read properties of undefined (reading '__cdata') || timestamp: 04-02-2024 11:29:26 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:31:57 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:31:57 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:32:53 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:32:53 PM 
info: api hit || timestamp: 04-02-2024 11:33:5 PM 
error: Cannot read properties of undefined (reading '__cdata') || timestamp: 04-02-2024 11:33:5 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:35:45 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:35:45 PM 
